Time (s),Height (m)
0,-0.000000000201603758848207
900,-0.00000060555544660732
1800,-0.00420016764549747
2700,-0.151036762007664
3600,-0.318553682880268
4500,-0.348562891644353
5400,-0.289441282228436
6300,-0.267263953483617
7200,-0.236727944523033
8100,-0.165282736133164
9000,-0.248979358213694
9900,-0.206079079842128
10800,-0.109595268971015
11700,-0.182206049387489
12600,-0.223164045834399
13500,-0.106512909672556
14400,0.02047847701974
15300,0.177727690051956
16200,0.217315033154771
17100,0.20969891885169
18000,0.23380379824214
18900,0.309787516291504
19800,0.363381804698705
20700,0.465213217795118
21600,0.48960099194884
22500,0.530689127727926
23400,0.508541859676652
24300,0.504009807007433
25200,0.539032617244241
26100,0.571890839444383
27000,0.486154892396163
27900,0.451519829567535
28800,0.422641925748987
29700,0.299715099041345
30600,0.269123431023093
31500,0.213373310358834
32400,0.103053970239356
33300,-0.00434800769733979
34200,-0.1318390509446
35100,-0.172402594033496
36000,-0.257453257040061
36900,-0.415689782705582
37800,-0.507096097631375
38700,-0.426105344008728
39600,-0.567210323200973
40500,-0.591910099227991
41400,-0.663970058802377
42300,-0.663262686941951
43200,-0.662387563384157
44100,-0.754295981287693
45000,-0.77357473940254
45900,-0.828150825579052
46800,-0.789859756982374
47700,-0.787666807725086
48600,-0.826631692375119
49500,-0.816308712923142
50400,-0.814650178027912
51300,-0.764909388867313
52200,-0.64924643831339
53100,-0.617988774792018
54000,-0.569223171763788
54900,-0.533982255335257
55800,-0.43905435960744
56700,-0.341043718418759
57600,-0.230450734050906
58500,-0.0836266350125997
59400,0.00543205476687301
60300,0.145221609846674
61200,0.324250261691428
62100,0.446326838553077
63000,0.466622230437842
63900,0.578012257283726
64800,0.678300377648861
65700,0.727848599931306
66600,0.824842809707144
67500,0.836922615795612
68400,0.855710773680106
69300,0.925858140507309
70200,0.944462327788081
71100,0.956660830235942
72000,0.94709287953389
72900,0.931849090425083
73800,0.86282130938294
74700,0.794611259460807
75600,0.708978328315935
76500,0.608266966789131
77400,0.521779662261457
78300,0.426517399746994
79200,0.352327947032588
80100,0.282011783430885
81000,0.177748625677609
81900,0.085246787539721
82800,-0.00167093962566971
83700,-0.0672365339595563
84600,-0.183611080864138
85500,-0.23061219304122
86400,-0.287769813649587
87300,-0.355757987348711
88200,-0.433952843559763
89100,-0.45023716346524
90000,-0.477868211163035
90900,-0.509841621681252
91800,-0.522751926890351
92700,-0.536019118007529
93600,-0.519982351519759
94500,-0.52184089841972
95400,-0.504524310911626
96300,-0.478086150685474
97200,-0.443827549104855
98100,-0.389357318544769
99000,-0.325361686621367
99900,-0.276896981767778
100800,-0.212670065131087
101700,-0.120874145610224
102600,-0.0390809511002358
103500,0.0305972415200033
104400,0.111594444155842
105300,0.169540325167357
106200,0.242407885211606
107100,0.298824890858204
108000,0.372648660265297
108900,0.445259600355571
109800,0.496355988102212
110700,0.534522113625168
111600,0.587509257935153
112500,0.598859547066367
113400,0.587854767224302
114300,0.603050236063573
115200,0.578003725093621
116100,0.534425290026129
117000,0.474815310562687
117900,0.425844452124762
118800,0.333763531755857
119700,0.237601241376556
120600,0.141467657955181
121500,0.0557998180249235
122400,-0.056323034662465
123300,-0.181041232525088
124200,-0.2787002758257
125100,-0.359329506026133
126000,-0.456207825884823
126900,-0.548125719709493
127800,-0.650705499768677
128700,-0.719640186580812
129600,-0.790491264638403
130500,-0.842880031914245
131400,-0.88223355412158
132300,-0.906238435916931
133200,-0.927494196423919
134100,-0.933323130317509
135000,-0.937447193518003
135900,-0.935130730863213
136800,-0.924566102483286
137700,-0.900923592816676
138600,-0.846064109246565
139500,-0.802467481769656
140400,-0.727780624587578
141300,-0.633095854789889
142200,-0.533486485432544
143100,-0.461356254229672
144000,-0.354005607353376
144900,-0.252023947383476
145800,-0.123275464901725
146700,-0.03891776102759
147600,0.0644440684122198
148500,0.179961926758314
149400,0.306227626851551
150300,0.384461291774136
151200,0.500059743578925
152100,0.608963639906053
153000,0.712357068430101
153900,0.775631588181869
154800,0.844022833688103
155700,0.91066340710194
156600,0.969399802156489
157500,0.994969807602368
158400,1.01273198671032
159300,1.03288024725062
160200,1.0213351521544
161100,1.00376731432903
162000,0.959357385188677
162900,0.909001072643369
163800,0.84828390942584
164700,0.78198857791077
165600,0.699198336395812
166500,0.607086954575213
167400,0.503986423148011
168300,0.422669535825398
169200,0.318506936744714
170100,0.206537475790161
171000,0.1036601943917
171900,0.0251396667239915
172800,-0.0805656112998985
173700,-0.186186899198509
174600,-0.282262482629058
175500,-0.348026939324914
176400,-0.42638068627856
177300,-0.496841674991047
178200,-0.547331243678741
179100,-0.576520662456091
180000,-0.608718213029072
180900,-0.619608953810754
181800,-0.615779127115348
182700,-0.601346233773755
183600,-0.571504296193664
184500,-0.539592624413474
185400,-0.488511130492062
186300,-0.443381811314532
187200,-0.386711986718522
188100,-0.321292943753975
189000,-0.247104853588215
189900,-0.193656057331242
190800,-0.115137673039554
191700,-0.0377468796197811
192600,0.0359581984931707
193500,0.0930825693023368
194400,0.172796560043965
195300,0.250120192737555
196200,0.323057415518938
197100,0.371408392752403
198000,0.431874196454343
198900,0.478720091105601
199800,0.507738573320874
200700,0.529549617901526
201600,0.542678265028521
202500,0.534394235820586
203400,0.521664949866341
204300,0.498922487509493
205200,0.446467745096557
206100,0.381767148185856
207000,0.307984728989053
207900,0.240520460297972
208800,0.148225442378776
209700,0.0559808255866838
210600,-0.0392525648802995
211500,-0.115001059158854
212400,-0.214772328888015
213300,-0.308030597232289
214200,-0.399681745237101
215100,-0.470974156818503
216000,-0.566631382164748
216900,-0.65455216146943
217800,-0.737892912252115
218700,-0.797649771100531
219600,-0.866768244506421
220500,-0.920109601433905
221400,-0.959560908314082
222300,-0.978711828033759
223200,-0.995995119497588
224100,-0.998272185264101
225000,-0.986465585421313
225900,-0.965598533075717
226800,-0.927221238005275
227700,-0.866484384668104
228600,-0.786514373185943
229500,-0.718312395086417
230400,-0.618267119459957
231300,-0.507102645044047
232200,-0.389842927099487
233100,-0.29939017625391
234000,-0.174711937530278
234900,-0.0476828027561672
235800,0.0809073789754671
236700,0.177730274926849
237600,0.303052999191126
238500,0.427148036709782
239400,0.546889815791488
240300,0.633232605412904
241200,0.741338997800188
242100,0.837749874076041
243000,0.924413009626757
243900,0.980155416681111
244800,1.04115286291902
245700,1.08729164964663
246600,1.11436143907693
247500,1.12141191456417
248400,1.1157474989625
249300,1.09082461950651
250200,1.04686550668158
251100,1.00394979554395
252000,0.936582816491395
252900,0.857570332084035
253800,0.772721572307737
254700,0.704512937447848
255600,0.607101546053667
256500,0.503472381208988
257400,0.395141935966971
258300,0.313576902754807
259200,0.202304736566776
260100,0.08551491156066
261000,-0.029378534247254
261900,-0.113014310581859
262800,-0.220940047949237
263700,-0.323335058230749
264600,-0.412023858847925
265500,-0.47023818234571
266400,-0.540207816661853
267300,-0.595846316007719
268200,-0.635428897162687
269100,-0.654797734555683
270000,-0.666006460192766
270900,-0.661734022157617
271800,-0.644940007255459
272700,-0.622824949201331
273600,-0.580916321193589
274500,-0.530132732519303
275400,-0.471599322030694
276300,-0.422821583714144
277200,-0.349980880776362
278100,-0.273558949487586
279000,-0.196527338719828
279900,-0.13732361892527
280800,-0.0544730085356883
281700,0.028261962324502
282600,0.111167619051013
283500,0.173627258645574
284400,0.255951385050951
285300,0.331537587314349
286200,0.397643182244324
287100,0.442647305371622
288000,0.490498845772656
288900,0.520865777193422
289800,0.536828468113159
290700,0.539901706359984
291600,0.528328379886437
292500,0.49777414580931
293400,0.44904555282209
294300,0.399098069275853
295200,0.324402510173061
296100,0.239413015689977
297000,0.146052547753029
297900,0.0739993317514239
298800,-0.0224338822457819
299700,-0.121854375927167
300600,-0.221862345033731
301500,-0.292912678967521
302400,-0.386707953700422
303300,-0.48082850039674
304200,-0.573930667987801
305100,-0.641333840210354
306000,-0.726172578630085
306900,-0.805841205047555
307800,-0.87625204438574
308700,-0.920008994489577
309600,-0.965775583658412
310500,-0.997513637105212
311400,-1.01789399465218
312300,-1.02330816459179
313200,-1.01618588757461
314100,-0.992486975103236
315000,-0.950370374326547
315900,-0.906590927317114
316800,-0.832021952355538
317700,-0.739929218016488
318600,-0.633970912190329
319500,-0.549298731491799
320400,-0.42953472567117
321300,-0.303812467682999
322200,-0.174286606124146
323100,-0.075539591428206
324000,0.0572948540639746
324900,0.190975564092228
325800,0.323674211883641
326700,0.421695498166611
327600,0.549886403830306
328500,0.672575947554565
329400,0.78689148266446
330300,0.865501080676871
331200,0.958773657846864
332100,1.04059470683417
333000,1.10898642391773
333900,1.14880252734025
334800,1.18329639252704
335700,1.19789233221931
336600,1.19268866180332
337500,1.17503895616963
338400,1.13537117612799
339300,1.0775213367218
340200,1.0055198370115
341100,0.943799004741235
342000,0.854063255584584
342900,0.75634518645045
343800,0.651410149378877
344700,0.569068118448897
345600,0.455902924707266
346500,0.339035519975314
347400,0.219733473047094
348300,0.12970649133488
349200,0.00840321027050256
350100,-0.11211568327529
351000,-0.22713838807737
351900,-0.307289934054931
352800,-0.405239737183665
353700,-0.491701469250446
354600,-0.565737077111839
355500,-0.612766034560448
356400,-0.662382784385796
357300,-0.693528078165315
358200,-0.707861332538835
359100,-0.708604436066447
360000,-0.696127624937658
360900,-0.670460075965241
361800,-0.632732307343587
362700,-0.596868550569742
363600,-0.539675369824442
364500,-0.47387091596891
365400,-0.401559551389389
366300,-0.344002353914107
367200,-0.264328189182665
368100,-0.182604886153587
369000,-0.0981191784985326
369900,-0.0331540895876053
370800,0.0547667491676505
371700,0.142482447359485
372600,0.227635325501008
373500,0.288085560895492
374400,0.361767182753317
375300,0.424556482464593
376200,0.474300566515638
377100,0.502054554739123
378000,0.526600891851996
378900,0.534736874900029
379800,0.524078023665594
380700,0.503035838465265
381600,0.458560224722412
382500,0.395034500993469
383400,0.318591032984893
384300,0.254217812901588
385200,0.161765349972957
386100,0.065880611480623
387000,-0.0325940387104435
387900,-0.107952064325039
388800,-0.208296140074714
389700,-0.305045569307708
390600,-0.40011520554349
391500,-0.471431135973796
392400,-0.564534046387606
393300,-0.654728556212614
394200,-0.741411919560469
395100,-0.802290581574091
396000,-0.874963409421135
396900,-0.934769289408337
397800,-0.980692224554789
398700,-1.00544053648209
399600,-1.02700742418971
400500,-1.03548831547311
401400,-1.02776981007691
402300,-1.00994527633928
403200,-0.969991262586765
404100,-0.911038898339657
405000,-0.833468178490112
405900,-0.764253952510142
406800,-0.658947735854573
407700,-0.542937995687141
408600,-0.419471753487185
409500,-0.323204869267392
410400,-0.190613959558417
411300,-0.0546736017705662
412200,0.0826413387726282
413100,0.185555899416435
414000,0.322492158800952
414900,0.458558675578619
415800,0.5909887047168
416700,0.686418762844111
417600,0.806497184694836
418500,0.915601530758245
419400,1.01169025403377
420300,1.07630052942296
421200,1.15008580737111
422100,1.20602025037378
423000,1.24149570333353
423900,1.25442397741678
424800,1.2525879743507
425700,1.22880693872027
426600,1.18598304368608
427500,1.14087064174962
428400,1.06686884711464
429300,0.981687277691402
430200,0.88639943562686
431100,0.808505782066328
432000,0.698925321322077
432900,0.584376979554814
433800,0.463905425608884
434700,0.371116960321004
435600,0.246601875447573
436500,0.121265690760286
437400,-0.00522463372496421
438300,-0.0989698906027813
439200,-0.218812637604083
440100,-0.329625846012915
441000,-0.429965216151271
441900,-0.497485940538404
442800,-0.576866416790972
443700,-0.64246468254332
444600,-0.691793518501122
445500,-0.717160909746454
446400,-0.73649174859148
447300,-0.739380478125745
448200,-0.726891327161288
449100,-0.709520958373189
450000,-0.675685305894678
450900,-0.629145461547931
451800,-0.572015875333356
452700,-0.524028572779685
453600,-0.453764729946454
454500,-0.376940804116805
455400,-0.296000888978633
456300,-0.233878046455091
457200,-0.148402080921583
458100,-0.0593093225374095
459000,0.0317497909759292
459900,0.10014832827494
460800,0.190155885772156
461700,0.274907445510634
462600,0.351349836483364
463500,0.401873261363322
464400,0.458063553171388
465300,0.499082126422276
466200,0.524973979456386
467100,0.533447845083567
468000,0.528022879984101
468900,0.502677326329752
469800,0.457703676267843
470700,0.41099525558554
471600,0.336408744761802
472500,0.251074028408972
473400,0.158461134178317
474300,0.0861562005814307
475200,-0.0126938476345799
476100,-0.113918910859934
477000,-0.214892181205115
477900,-0.288583117080503
478800,-0.385508141709095
479700,-0.482031293763266
480600,-0.576259828025851
481500,-0.644924116904602
482400,-0.733104264440825
483300,-0.814753704237285
484200,-0.886427071139456
485100,-0.931491501921972
486000,-0.979098800707015
486900,-1.01222609473611
487800,-1.03224019051109
488700,-1.03808439559083
489600,-1.03152780503838
490500,-1.00686437484098
491400,-0.963495933914644
492300,-0.918086259514211
493200,-0.841178221714164
494100,-0.747599294509887
495000,-0.639674067086231
495900,-0.55213714245577
496800,-0.428735831603086
497700,-0.299643967418625
498600,-0.165213567004804
499500,-0.0622095640667635
500400,0.0761765928831112
501300,0.214809450385178
502200,0.353643812698752
503100,0.457324532041509
504000,0.592520272318442
504900,0.722187105354744
505800,0.843770230472032
506700,0.92759234907979
507600,1.02786627433744
508500,1.11615489618839
509400,1.19000738687387
510300,1.23374816628931
511200,1.2736546303925
512100,1.29190019527291
513000,1.28756672171989
513900,1.26988275327387
514800,1.22905285997096
515700,1.16767513488834
516600,1.09030465601108
517500,1.02469494473845
518400,0.927712632197102
519300,0.8204989941958
520200,0.706511389232158
521100,0.617109650175465
522000,0.492481017296782
522900,0.364288779789525
523800,0.234911402040569
524700,0.137281278856242
525600,0.00607841015960959
526500,-0.122880877618544
527400,-0.244984715122154
528300,-0.330355430262328
529200,-0.434871678613746
530100,-0.527447855397585
531000,-0.607489449045423
531900,-0.658081337511486
532800,-0.710946467786719
533700,-0.745893853973177
534600,-0.764191067090396
535500,-0.766953639225786
536400,-0.757495823262436
537300,-0.735685195298397
538200,-0.701173198785436
539100,-0.666889876760741
540000,-0.611973122987344
540900,-0.549071837829527
541800,-0.478711890521211
542700,-0.421482655857236
543600,-0.341062396448104
544500,-0.257532752848704
545400,-0.170519106871167
546300,-0.102675671043893
547200,-0.00964860702081485
548100,0.0843042110609632
549000,0.176649257132552
549900,0.242538523144794
550800,0.323498880670435
551700,0.394429590933591
552600,0.452235769654954
553500,0.485684304607985
554400,0.516882689061197
555300,0.531311848479802
556200,0.526205702154523
557100,0.509330764442636
558000,0.469433783015406
558900,0.409887498535073
559800,0.336551683743624
560700,0.274179767608763
561600,0.184400760206109
562500,0.0900999326877676
563400,-0.00774395543274654
564300,-0.0830879761060006
565200,-0.183825520533844
566100,-0.282153206633343
567000,-0.379789722891148
567900,-0.452930863546607
568800,-0.548654826880136
569700,-0.641496347228
570600,-0.730462141832201
571500,-0.792918517797437
572400,-0.86733736544218
573300,-0.928416531608693
574200,-0.975226914881359
575100,-1.00079985622072
576000,-1.0232376646826
576900,-1.03153133993615
577800,-1.02314013110083
578700,-1.00469822217102
579600,-0.963741233807647
580500,-0.903050790883895
581400,-0.823880990116898
582300,-0.753836685806542
583200,-0.648161845865797
584100,-0.532537549464572
585000,-0.409303276885838
585900,-0.313182688072626
586800,-0.180106949783156
587700,-0.0437344984894869
588600,0.0939586970738534
589500,0.197514394518367
590400,0.336064202375264
591300,0.474438528650256
592200,0.609636304225471
593100,0.707500692585652
594000,0.831386959105117
594900,0.944551723833394
595800,1.04480542248137
596700,1.11231788671969
597600,1.18983377526013
598500,1.24958179965759
599400,1.2884237073915
600300,1.30345162536545
601200,1.30331639327802
602100,1.28097618891981
603000,1.23827831916215
603900,1.19244471987939
604800,1.11709094332081
605700,1.02981709981139
606600,0.931162761451417
607500,0.850143245137741
608400,0.735634772313059
609300,0.614589591462789
610200,0.487101674536438
611100,0.389152650114687
612000,0.257365177649121
612900,0.124326414306176
613800,-0.00979984742989674
